long,lat,shift,date,age,primary_fur_color,highlight_fur_color,location,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
-73.9576246,40.78738625,PM,10062018,Adult,Gray,NA,Above Ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.96660079,40.78450981,PM,10142018,Adult,Gray,NA,Above Ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96148484,40.79226455,PM,10072018,Adult,Gray,White,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
-73.95466542,40.79476392,PM,10202018,Adult,Gray,"Cinnamon, White",Ground Plane,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
-73.9667114,40.77688047,PM,10172018,Adult,Gray,"Cinnamon, White",Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.95300356,40.79218225,PM,10072018,Adult,Gray,NA,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.96156966,40.79512786,AM,10142018,Adult,Gray,White,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.96447484,40.78838401,PM,10062018,Adult,Gray,Cinnamon,Ground Plane,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
-73.96107056,40.79148297,AM,10132018,Adult,Cinnamon,NA,Ground Plane,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
-73.96884545,40.78453013,AM,10082018,Adult,Gray,White,Above Ground,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
-73.95782372,40.79809595,PM,10142018,Adult,Gray,Cinnamon,Ground Plane,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.96882712,40.78097194,PM,10182018,Adult,Gray,White,Ground Plane,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
-73.96170887,40.79445851,PM,10132018,Adult,Cinnamon,NA,Ground Plane,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.97018248,40.77665306,AM,10082018,Adult,Gray,NA,Ground Plane,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.96764105,40.77660435,PM,10192018,Adult,Gray,Cinnamon,Above Ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97087261,40.7723572,AM,10072018,Adult,Gray,NA,Above Ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95414535,40.79821622,PM,10122018,Adult,Cinnamon,"Gray, White",Ground Plane,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.96836083,40.78429274,AM,10132018,Adult,Cinnamon,NA,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.96805206,40.77733867,PM,10102018,Adult,Gray,NA,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
