Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition progr
2020,December,PAGE COUNTY,675,1330,61258.7,,0
2020,May,Lunenburg County,825,2588,95819,,
2020,November,Waynesboro City,241,652,17136.56,0,1621
2019,February,Culpeper County,515,1816,35681.62,,0
2019,September,Culpeper County,18,40,,,
2019,March,Lexington City,684,1316,26595.04,,0
2020,November,Rockbridge County,321,3675,11442.99,,0
2019,May,Greensville County,70,259,126378,,
2020,June,Alexandria City,,,161162.63,,
2021,January,Covington City,245,7228,32866.53,,0
2020,November,King and Queen County,0,0,0,,
2019,November,Rockingham County,1868,3886,85871.41,,0
2020,November,Hopewell City,149,332,25077,,
2021,September,Scott County,,,13595.45,,0
2020,February,Henrico County,14,30,,,
2019,July,King and Queen,,,61363,,
2019,October,Lancaster County,449,904,95075,,
2021,February,Northumberland County,254,590,86160,,
2021,February,Radford City,564,1860,23391,150,0
2021,March,Halifax County,623,1344,20280,,
2019,March,Rockbridge County,286,1778,14126.48,,0
2021,March,Loudoun County,2380,25522,250112.49,485,11446
2020,June,Prince Edward County,1383,2364,38736,,
2019,November,Henry County,2869,4680,57295.65,225,720
2021,September,Craig County,227,227,2720,,1185
2021,July,Grayson County,920,2464,37181.8,,0
2020,May,Charlotte County,726,1439,228,,
2021,June,Hopewell City,0,997,0,,
2020,August,Tazewell County,2441,5984,54654.45,,0
2019,November,Prince George County,399,1107,3718,,
2021,July,Covington City,192,7802,29624.57,,0
2020,September,Charlotte County,809,1512,3192,,
2020,June,Orange County,220,492,5316.6,,0
2020,March,Campbell County,895,1770,95558.86,,2270
2020,October,Northumberland County,259,605,115147,,
2019,December,Warren County,624,1804,28625.8,186,352
2020,April,Madison County,186,414,21502.9,,0
2020,March,Hanover County,722,2063,523,,
2020,May,Greene County,637,1644,59450.55,78,1948
2020,November,Covington City,389,4386,42867.44,,0
2020,May,Fairfax County,7,84,,,
2020,November,Hopewell City,0,1519,0,,
2019,October,Montgomery County,1074,5771,37217.35,1119,11236
2021,January,Halifax County,516,1228,22321,,
2020,September,Louisa County,1225,2468,24459,,
2021,February,Prince William County,,,1343911.938,,48482
2020,January,Patrick County,975,2825,18454.35,,0
2019,January,Fluvanna County,440,1051,29638.5,101,4176
2020,February,Hanover County,906,2531,843,,
2019,May,Northampton County,323,632,12230,85,1250
2021,February,Cumberland County,667,999,44738,,
2019,February,Arlington County,,,40302.84929,,646
2019,January,Salem City,809,2255,30803.3,,0
2020,July,Rockbridge County,2512,2754,6970.5,,0
2019,July,Cumberland County,474,719,55750,,
2019,May,Lee County,417,1120,22912.2,,0
2021,April,Loudoun County,11676,22950,242285.07,676,3632
2020,August,Chesterfield County,2110,9706,552694,,
2020,October,Richmond City,0,12609,0,,
2020,May,Richmond City,6462,13312,23044,,
2020,June,King and Queen,,,62049,,
2021,April,PAGE COUNTY,252,631,36389.07,50,0
2019,December,Spotsylvania County,2334,7654,126046,4487,8076
2021,May,Buckingham County,676,1069,38605.27,,0
2019,August,Loudoun County,2692,9043,185850.52,0,8712
2019,March,Culpeper County,21,55,,,
2021,February,Petersburg City,0,6451,0,,
2019,July,Loudoun County,2447,9073,174369.06,1180,3794
2020,June,Buchanan County,1495,3776,93957.65,,0
2019,September,Halifax County,322,971,18118,,
2020,January,Essex County,27,86,,,
2021,April,Chesterfield County,2392,10987,1062543,,
2019,January,Sussex County,220,464,10606,80,974
2020,August,Northumberland County,259,611,106794,,
2020,August,Radford City,428,1383,20840.2,,0
2020,December,New Kent County,434,1261,0,,
2019,October,Dinwiddie County,277,1125,1593,,
2020,August,Patrick County,883,2128,13890.38,,0
2019,March,Campbell County,852,1646,79658.05,130,5270
2020,April,Galax City,257,562,9914,224,0
2021,July,Danville City,1977,3349,187790.88,,0
2019,January,Charlotte County,243,1216,0,,
2020,January,Scott County,651,1474,27422.43,13,0
2021,May,Lee County,286,811,20813.65,,1840
2020,June,Washington County,2560,8077,68120.95,,0
2019,March,York County,266,758,48019,215,2361
2021,February,Henry County,3005,6715,83060.73,47,1322
2019,February,Powhatan County,150,379,102048,,
2021,January,Charlotte County,850,1594,0,,
2020,June,Wythe County,718,1841,17392.6,,0
2021,April,Lexington City,497,1028,34223.64,,0
2020,January,Petersburg City,1205,2873,12703,,
2021,January,New Kent County,415,1181,0,,
2020,September,Prince George County,73,186,9858,,
2021,March,Giles County,231,309,14655,,0
2019,August,Emporia City,119,179,21090,,
2021,May,Roanoke City,3405,20112,357971.56,297,14648
2021,March,Hopewell City,169,314,29227,,
2020,August,King and Queen,,,91562,,
2020,August,Culpeper County,858,2369,59216.49,,0
2020,January,Orange County,354,910,46719.97,,0
2019,August,Brunswick County,329,633,12541,,
2019,October,Caroline County,969,2559,32411,1155,3465
2020,March,Grayson County,835,2290,33759.03,,0
2020,March,Stafford County,1399,4055,60627.63,1268,2937
2021,August,Russell County,613,1664,30416.2,,0
2019,December,Greene County,597,1490,46129.72,86,1170
2021,July,Scott County,370,700,19864.57,,0
2019,September,James City County,163,402,112450,245,1574
2020,April,Botetourt County,195,716,10351.62,,161
2019,October,Danville City,3614,9237,149122.32,432,1204
2020,June,Greensville County,54,182,140192,,
2019,March,Dinwiddie County,34,775,3772,,
2020,March,Buchanan County,1751,4051,88290.13,428,6270
2020,September,Madison County,233,555,33860.64,,0
2020,November,Greensville County,86,256,168597,,
2021,May,Appomattox County,860,1358,21810.82,,0
2021,April,Shenandoah County,711,1768,42645.45,,0
2019,August,Prince William County,,,239110.8281,,5799
2019,September,Sussex County,160,421,7873,,
2019,February,Chesterfield County,640,9402,227204,,
2020,May,Prince William County,,,257974.0307,,
2020,March,Smyth County,1569,4849,106178.6,500,6345
2020,May,Spotsylvania County,2384,8638,381766.89,,0
2019,November,Buena Vista City,771,1476,32302.64,,0
2019,November,Prince Edward County,1448,2805,30692,,
2021,May,Richmond County,24,58,557964,,
2019,March,Orange County,355,868,17453,,0
2021,March,Covington City,163,6920,31905.5,,0
2020,April,Chesapeake City,1412,3002,283792,0,0
2020,February,Halifax County,362,1026,21548,,
2019,September,Hanover County,502,2375,466,,
2021,June,Pulaski County,898,1964,16899.68,,0
2021,April,Covington City,169,543,21305.4,,0
2019,March,James City County,283,857,154967,245,4327
2020,February,Carroll County,316,783,9631.2,,0
2020,July,Henrico County,1950,14121,56550,,
2020,February,Emporia City,0,0,0,,
2021,March,Colonial Heights City,59,110,50470,,
2019,April,Grayson County,684,2065,24557.07,,0
2019,November,King George County,481,1221,12549,135,166
2020,January,King George County,262,676,8582.24,291,153
2019,May,Hopewell City,83,123,14043,,
2021,May,Buchanan County,1218,2776,80714.76,,0
2019,February,Prince William County,,,245521.7231,,
2020,June,Loudoun County,5321,24053,227788.7,1140,38871
2021,March,Alleghany County,141,359,48515.8,,0
2020,April,Frederick County,6742,9148,61973.75,,0
2020,June,Prince William County,,,448979.232,,
2020,June,Chesapeake City,2510,4033,135377,0,0
2020,September,STAUNTON CITY,653,4054,29764.3,,475
2019,October,Hopewell City,129,220,12744,,
2019,September,Pittsylvania County,,,0,89,2343
2020,May,Loudoun County,4927,26585,211896.44,1055,30115
2019,June,Accomack County,1628,4754,113461,349,2972
2020,September,Warren County,238,637,36335.25,0,0
2019,January,Middlesex County,514,832,10175,,
2019,November,Mecklenburg County,1315,2318,17804,,
2020,July,Bath County,273,533,16353.03,,0
2020,August,Lee County,395,1133,33312.13,,0
2019,October,Accomack County,1976,5811,112874,340,4795
2020,November,BEDFORD COUNTY,460,910,24223.45,24,219
2020,September,Lancaster County,412,883,78742,,
2019,December,Mecklenburg County,1673,2897,12578,,
2019,September,Newport News City,1884,4719,384989,450,1491
2019,February,Hampton City,1845,5125,248756,410,10853
2020,August,Roanoke City,3301,20637,348890.11,155,3365
2020,August,Greensville County,53,229,153081,,
2021,February,Bedford County,814,2567,93918.21,83,0
2019,June,Lunenburg County,451,2868,71606,,
2019,August,Roanoke City,6082,27176,301077.7,595,2666
2019,May,Petersburg City,0,1394,0,,
2021,February,Warren County,226,562,23978.3,30,378
2021,June,Wise County,501,1503,43492.93,,0
2019,July,Carroll County,353,901,13611.5,,0
2019,November,Hampton City,1832,4783,245039,410,11071
2020,August,Bedford County,838,2593,66527.9,,664
2019,January,Bath County,114,292,12831.57,,0
2019,June,Chesterfield County,774,6642,200889,,
2019,June,Richmond County,1,1,,,
2019,June,Dinwiddie County,243,910,1221,,
2021,June,Lynchburg City,10410,14012,195043.86,4396,90221
2019,May,Dinwiddie County,228,885,196,,
2019,August,Frederick County,3267,5281,54522.06,,0
2019,November,Fauquier County,943,2394,35265.85,,0
2020,September,Hopewell City,73,190,23963,,
2020,January,Norton City,677,2074,35674.93,,0
2019,February,Henry County,2563,6503,79277.3,256,2252
2019,February,Prince William County,25,74,310,,0
2021,January,Emporia City,0,0,0,,
2020,September,Essex County,317,643,26567,,
2021,April,Powhatan County,93,200,154120,,
2020,March,Dickenson County,924,1852,40473.5,,0
2020,September,Prince Edward County,1463,2582,50560,,
2020,January,Prince Edward County,1485,2600,45075,,
2019,November,Pulaski County,928,4882,13504.25,278,3653
2021,June,Craig County,260,260,5222,10,0
2019,March,Prince William County,31,116,252,,0
2021,August,Tazewell County,727,1520,39299.78,,0
2019,July,PAGE COUNTY,365,808,46036.79,,0
2019,February,Hanover County,137,377,,,
2019,July,Pittsylvania County,537,1500,23294.4,,0
2020,September,New Kent County,395,1134,0,,
2019,September,Richmond City,7934,16160,13181,,
2019,July,Bland County,709,1794,21895.25,,0
2020,February,King and Queen,,,50927,,
2020,May,Shenandoah County,1287,3772,79924.35,,0
2019,November,Surry County,125,207,16987,0,
2019,March,Buena Vista City,878,1625,28605.59,,0
2019,November,Orange County,392,1034,10582,,0
2020,July,Bedford County,852,2618,78555.2,,0
2020,January,Hopewell City,0,1224,0,,
2020,April,Alexandria City,,,91828.6526,,
2019,August,Bristol City,488,1316,6050,72,0
2021,February,Orange County,655,1469,31880.37,,0
2019,July,Dinwiddie County,253,937,4266,,
2021,January,Westmoreland County,388,975,3917,,
2019,January,Wise County,868,2935,43004.5,,0
2019,March,Grayson County,650,1935,19441.5,,0
2020,October,Grayson County,852,2329,69135.99,,0
2019,June,Hopewell City,0,1008,0,,
2019,August,Giles County,381,716,11033,65,0
2020,April,Buckingham County,574,1035,32136.53,,0
2019,August,Spotsylvania County,2300,7521,148094,1880,2362
2020,January,Radford City,576,5482,20897.93,153,0
2019,November,Orange County,675,1734,38586.71,,0
2019,December,Colonial Heights City,0,1147,0,,
2019,May,Martinsville City,566,2301,17355.95,27,0
2019,December,STAUNTON CITY,370,5347,20601.33,,442
2019,August,Franklin County,856,2685,42814,,0
2020,April,Craig County,60,75,1550,28,0
2020,May,Richmond County,24,32,392045,,
2020,February,Henrico County,2373,8812,36815,,
2019,May,Smyth County,1650,4473,109105.5,450,1137
2020,November,Patrick County,946,2211,47952.09,,0
2020,August,Frederick County,4542,6818,57221.82,,0
2020,May,Lynchburg City,10765,14906,189584.73,2433,29864
2019,October,Buena Vista City,989,1856,43296.5,,0
2019,October,Franklin City,813,2016,24564,80,1106
2020,January,Alleghany County,410,1135,19041.4,,0
2020,March,Alexandria City,,,70577.05345,,4960
2020,September,Wise County,808,2517,40960.2,,0
2019,March,CLARKE COUNTY,231,413,11504.77,,0
2019,September,Colonial Heights City,65,135,46229,,
2020,November,Buena Vista City,454,1163,41248.36,,0
2020,July,Dinwiddie County,364,771,4116,,
2020,July,King and Queen,,,66656,,
2019,November,York County,527,1664,51061,215,2363
2019,February,Pittsylvania County,,,0,86,2103
2019,January,Colonial Heights City,4,6,37811,,
2021,June,Nelson County,516,950,47729.33,,0
2020,August,Roanoke County,323,1001,21596.65,,0
2020,September,Grayson County,834,2326,50048.7,,0
2020,January,Campbell County,1202,2539,99329.83,229,6984
2019,September,Richmond County,12,27,1943038,,
2020,May,Albemarle County,2395,10763,194504.03,18,593
2019,September,Essex County,46,123,,,
2019,October,Salem City,780,2066,41388.88,,0
2021,February,Franklin County,590,1737,77568.7,280,7276
2020,August,Richmond City,7513,15790,25636,,
2021,March,Richmond City,8565,18376,25481,,
2021,February,Lancaster County,458,882,59056,,
2019,June,Westmoreland County,405,994,10910,,
2020,August,Colonial Heights City,65,155,42601,,
2021,April,Alexandria City,,,208696.4484,,14956
2021,June,PAGE COUNTY,811,1984,54417.79,0,2041
2021,March,Augusta County,1658,3920,190388.23,61,3169
2020,March,Wise County,1102,3302,46092.25,,0
2019,June,Gloucester County,900,2727,93891,,
2019,May,Loudoun County,2460,8530,187189.11,1079,21667
2019,September,Southampton County,604,1378,18295,0,1633
2020,October,Pittsylvania County,,,0,0,0
2019,July,Culpeper County,18,47,,,
2019,September,Hanover County,62,130,,,
2019,January,Henry County,2012,5405,62704.35,207,1768
2021,February,Pulaski County,978,4529,38858.9,200,0
2021,May,Warren County,759,3245,34285.45,23,0
2021,March,Shenandoah County,959,2371,111057.55,,0
2019,July,Richmond County,1,1,,,
2020,December,Tazewell County,1731,3901,64357.4,,0
2020,September,Petersburg City,889,2173,4442,,
2019,October,New Kent County,422,1183,0,,
2019,January,Covington City,334,1130,21860.85,,0
2019,July,Winchester City,1665,8679,151019.38,0,1709
2020,November,Alexandria City,,,105564.1757,,5261
2019,September,Orange County,296,701,10582,,0
2020,September,Fauquier County,713,1864,54814.61,,0
2021,January,Nelson County,554,1171,48266.72,,0
2020,March,Highland County,173,311,11200.63,,0
2019,October,Radford City,734,2200,29405.58,303,0
2020,March,Franklin City,749,1709,50684,80,3882
2020,June,Richmond City,0,8175,0,,
2019,April,Bedford County,1151,3559,89355.74,202,3366
2020,November,PAGE COUNTY,791,1513,44089.73,,0
2020,April,Westmoreland County,298,796,6916,,
2019,March,Orange County,655,1302,48251.03,,0
2020,April,Roanoke County,544,1485,34196.53,53,167
2020,March,Orange County,534,1367,47942.07,,0
2020,May,Henrico County,9,20,,,
2019,October,Scott County,750,1672,25766.65,13,0
2020,October,PAGE COUNTY,653,1145,63282.47,,0
2019,January,Halifax County,206,781,17997,,
2019,January,Giles County,333,624,15267,72,0
2020,September,Bristol City,313,1786,4165,67,0
2021,September,Bland County,,,56867.05,,0
2020,March,Russell County,943,2291,32378.13,,0
2020,January,PAGE COUNTY,365,777,53732.08,,0
2020,January,Lynchburg City,7403,14241,165689.14,3101,27640
2020,December,Hanover County,1028,2958,562,,
2021,March,Wythe County,904,2080,27403.8,,0
2019,August,Henrico County,2,2,,,
2021,February,Highland County,199,408,9061.02,,0
2021,May,Henry County,2627,6249,133886.3,61,0
2019,December,Augusta County,3381,9137,279124.67,70,958
2019,August,Gloucester County,813,2498,127492,,
2019,July,Franklin City,895,1926,21924,0,0
2020,May,Virginia Beach City,3888,12291,243511,40,1114
2020,May,Grayson County,804,2220,36231,,0
2020,April,Winchester City,2,6,,,
2019,December,Franklin County,795,2508,48718.6,,0
2020,January,Russell County,1048,2107,44512.55,,0
2019,August,Cumberland County,770,1169,47378,,
2019,January,Richmond County,6,10,330094,,
2020,June,King William County,529,5084,14536,,
2019,August,Culpeper County,661,1491,33035.44,,0
2019,October,Amherst County,691,1809,101807.17,1199,3256
2019,July,King William County,230,3477,25688,,
2019,December,Alexandria City,,,61869.61959,,14981
2019,December,Shenandoah County,1269,3358,68084.25,,0
2021,June,Galax City,696,1597,11616.75,73,0
2021,January,Bedford County,938,3038,81828.88,84,0
2019,December,Petersburg City,975,2290,2197,,
2020,May,Hanover County,812,2250,1119,,
2019,March,Henrico County,1384,8993,38265,,
2019,June,Lancaster County,411,804,65235,,
2021,January,Smyth County,572,1693,80031.33,315,4521
2019,May,Culpeper County,24,66,,,
2019,January,Virginia Beach City,5186,22211,271668,220,3616
2019,January,Bland County,215,517,15390.55,,0
2020,March,Southampton County,340,853,14277,145,367
2020,February,Bedford County,1152,3515,91086.06,78,260
2021,February,Lunenburg County,538,2806,120161,,
2019,September,Greene County,83,186,46097.36,55,0
2021,April,New Kent County,382,1061,0,,
2020,August,Dinwiddie County,401,905,3696,,
2020,July,Louisa County,1176,2290,34810,,
2019,December,Wise County,822,2809,47494.93,,0
2020,May,Roanoke City,2,2,,,
2019,November,Northampton County,248,691,13160,95,1321
2021,January,Culpeper County,701,1950,59095.17,,0
2021,June,Buchanan County,1253,2831,86215.78,,0
2020,December,Northumberland County,269,649,89691,,
2021,February,Albemarle County,2445,6502,251559.86,55,1045
2020,September,Brunswick County,367,605,48955,,
2019,January,Franklin City,837,2147,26147,60,731
2020,January,Westmoreland County,398,1007,7330,,
2019,December,King and Queen County,0,1678,0,,
2019,April,Charles City County,1,1,,,
2020,April,Petersburg City,908,2043,9213,,
2019,March,King William County,2,8,,,
2019,September,Rockbridge County,1624,1856,15536.55,,0
2020,May,Rockbridge County,209,5926,11664.73,,0
2020,July,Hopewell City,91,176,20758,,
2021,February,Louisa County,1078,2194,13519,,
2019,June,Stafford County,1239,3180,45997,529,930
2020,February,Galax City,153,417,7595.25,225,0
2021,April,Galax City,628,1394,15757.3,73,0
2019,July,Suffolk City,1820,4178,78582,0,0
2021,February,Sussex County,166,413,6857,,
2019,October,King George County,334,895,13946,54,82
2019,April,Powhatan County,141,359,120781,,
2019,May,Brunswick County,340,681,11029,,
2020,February,Orange County,349,883,42595.54,,0
2020,January,Sussex County,216,369,15404,130,1824
2019,October,PAGE COUNTY,353,741,61635.06,,0
2020,March,Franklin County,838,2490,34416.33,,0
2020,November,Harrisonburg City,3981,5880,184956.12,263,3184
2020,August,Amherst County,1173,2603,109345.77,,0
2021,September,Russell County,,,25831.65,,0
2020,January,Emporia City,0,0,0,,
2019,July,Waynesboro City,197,519,12606.01,0,978
2020,August,Charlotte County,830,1591,1256,,
2020,June,Lunenburg County,751,2137,94037,,
2021,March,PAGE COUNTY,481,850,49593.42,105,2203
2021,April,Salem City,449,1161,28288.1,,0
2020,January,Floyd County,419,1074,18834.3,,0
2020,April,Nelson County,717,1406,48490.19,,0
2019,August,Colonial Heights City,0,1840,0,,
2020,January,Appomattox County,1363,2146,25136.86,,0
2019,January,Grayson County,632,1917,15480,,0
2021,June,Emporia City,0,0,0,,
2019,February,Bedford County,1151,3613,71920.25,106,983
2019,September,Henrico County,4,4,,,
2020,October,Orange County,671,1583,42942.8,,0
2020,January,Roanoke City,5324,25611,397278.23,1518,11257
2019,January,Mathews County,,,29127,0,
2020,May,Stafford County,1246,3909,47830.47,,0
2020,April,Shenandoah County,1311,3488,85557.67,,0
2020,May,King William County,339,4549,17666,,
2019,November,Virginia Beach City,5749,21214,307689,220,2204
2019,April,Southampton County,499,1075,15649,105,1501
2019,March,Fairfax County,1,3,,,
2020,April,Fairfax County,,,573968.387,,
2019,August,Dickenson County,639,1567,46292.3,,0
2019,July,Surry County,113,182,21984,,
2019,January,King George County,320,920,9527,88,320
2019,March,Fredericksburg City,896,1864,49635,2090,3011
2021,May,King William County,399,4372,8478,,
2019,March,Suffolk City,2061,4590,53916,242,3038
2020,October,Radford City,610,1970,21682.33,134,0
2020,August,Warren County,317,854,32556.9,0,44
2019,July,Rappahannock County,270,680,18062.39,,0
2019,March,King and Queen County,168,431,161205,,
2021,May,Petersburg City,799,2323,5714,,
2020,December,Richmond City,0,9969,0,,
2020,April,STAUNTON CITY,402,4356,27864.24,,0
2019,December,Westmoreland County,73,197,576,,0
2021,January,Washington County,1218,4830,85428.08,80,842
2020,July,Nottoway County,241,746,30922,,
2021,February,Goochland County,103,352,77409,,
2020,November,Nelson County,696,1369,42076.49,,0
2019,April,Fairfax County,1,3,,,
2019,March,Halifax County,254,795,15758,,
2021,March,Winchester City,1607,5023,163031.57,129,4478
2021,May,Greene County,567,1532,59901.89,72,595
2020,June,Pulaski County,1222,5816,22270.1,,0
2021,September,Bedford County,,,29344.13,,580
2020,June,Orange County,573,1391,31068.03,,0
2019,February,Carroll County,324,845,16351.55,,0
2019,September,Montgomery County,944,5113,36401.4,1117,8184
2020,June,Bath County,290,623,18115.72,,0
2020,December,Radford City,622,1923,22260.15,150,0
2020,March,Lancaster County,477,954,75943,,
2020,March,Henrico County,1952,7066,50331,,
2019,July,Rockbridge County,2000,2315,16532.2,,493
2019,April,Dickenson County,696,1477,42984.64,,0
2021,March,Bath County,292,508,20580.65,92,2012
2019,May,Floyd County,355,899,2507.1,,0
2021,May,Dickenson County,610,1135,21986.08,,384
2019,August,York County,359,1064,41044,,
2020,February,Emporia City,182,235,24293,,
2019,June,York County,253,726,38952,,
2020,November,Appomattox County,1016,1627,24573.92,,0
2021,April,Warren County,525,2039,28653.69,34,0
2019,December,Bristol City,351,802,8653,100,0
2019,February,Portsmouth City,3514,8445,102833,470,6794
2020,March,Amelia County,153,401,9542,,
2021,June,Scott County,374,704,24841.8,,0
2019,January,Galax City,573,1232,16028,129,0
2020,December,Lexington City,702,1728,48885.84,,0
2020,April,Middlesex County,826,1164,11345,,
2020,October,Scott County,493,984,26057.28,10,458
2019,November,Montgomery County,950,5281,28285.33,1152,8470
2019,July,Northampton County,266,702,14552,0,0
2019,June,Nelson County,558,995,27198.8,,75
2019,April,Orange County,539,1367,41727.53,,0
2021,June,Winchester City,1520,4729,118656.55,59,10294
2020,July,Highland County,234,466,13779.88,,0
2020,April,Surry County,171,331,20870,0,
2020,June,Colonial Heights City,0,1403,0,,
2019,January,Amherst County,587,1790,105231.74,511,5185
2021,June,BEDFORD COUNTY,400,806,48936.26,0,0
2019,September,Warren County,826,2088,45100.02,0,799
2020,April,Appomattox County,1294,2275,59657.08,,0
2019,August,Grayson County,647,1944,13780.2,,0
2020,March,Rappahannock County,352,893,32282.6,,0
2021,May,Loudoun County,4548,22103,227387.73,1028,15992
2020,November,Bath County,314,653,15446.05,,0
2020,September,Montgomery County,1160,7604,45718.48,638,8806
2020,February,Essex County,54,163,,,
2020,September,Greensville County,51,226,192558,,
2020,July,Colonial Heights City,0,1786,0,,
2021,May,Wise County,658,1736,41215.34,,0
2020,March,Culpeper County,18,37,,,
2020,December,Covington City,307,5439,33405.32,,0
2020,August,Rockingham County,1876,4225,99709.31,,0
2019,March,Richmond County,4,22,,,
2020,May,King and Queen County,220,440,173600,,
2020,September,Henry County,3167,7921,114853.1,442,89
2020,November,Halifax County,423,997,21634,,
2019,September,Washington County,1427,3990,70531.6,220,1633
2019,April,Culpeper County,16,51,,,
2021,May,Charlottesville City,831,6313,29714.72,,0
2020,August,Bath County,260,512,19416.63,,0
2021,February,Augusta County,1569,3749,155319.61,125,1731
2019,February,Louisa County,1056,4639,24352,,
2019,November,Nelson County,657,1349,39838.62,,0
2021,May,Alleghany County,103,265,21083.46,,0
2019,November,Louisa County,26,80,,,
2020,March,Mecklenburg County,1653,2753,13123,,
2020,August,Fairfax County,,,1249639.807,,4296
2019,December,Wythe County,1191,3127,23530.4,,0
2020,March,Danville City,2952,7891,96579.7,625,1235
2019,October,Roanoke County,383,1306,20853.3,245,6918
2019,May,Carroll County,379,983,15779.1,,0
2019,February,Chesterfield County,4,4,,,
2020,December,Louisa County,1264,2579,20856,,
2021,February,Hopewell City,0,888,0,,
2019,January,Roanoke County,162,468,6755.5,264,5838
2019,December,Arlington County,,,25210.48342,,4584
2020,June,Pittsylvania County,501,1278,25555,,0
2019,February,Prince George County,3,3,,,
2019,May,Henry County,2758,6381,62726.8,241,0
2020,October,Smyth County,707,1970,119154.9,215,7143
2020,June,York County,425,1302,47354,215,2454
2020,April,Salem City,1756,5359,79996.35,,0
2021,July,Wythe County,517,1140,18074.6,,0
2021,March,Henry County,2839,6800,166918.68,71,0
2021,February,Madison County,163,379,30401.74,,0
2019,December,Scott County,699,1573,32333.8,,930
2019,May,Louisa County,1367,2756,18199,,
2019,May,Bedford County,1114,3466,79115.09,201,0
2020,April,Wise County,279,717,19547.23,,0
2021,June,Prince George County,134,436,12296,,
2020,July,Washington County,3806,12389,69602.85,,0
2021,February,Halifax County,499,1169,24067,,
2019,August,Bedford County,1126,3527,82025.15,,0
2021,January,Tazewell County,1182,2520,63371.83,,0
2020,June,Essex County,289,630,31920,,
2020,May,Newport News City,1994,6341,426781,450,9332
2020,June,Madison County,190,438,24081.73,,0
2019,August,New Kent County,403,1360,0,,
2019,February,Dinwiddie County,26,520,3592,,
2019,March,Henry County,2386,6042,78319.75,277,341
2019,December,Henrico County,1749,7467,39516,,
2019,November,Smyth County,1980,6519,153032.2,585,14125
2020,March,Madison County,272,639,37563.42,,0
2019,April,Newport News City,1325,3361,342417,450,1385
2019,January,Prince George County,2,2,,,
2019,September,Bristol City,433,1053,5708,85,0
2020,January,Westmoreland County,40,116,372,,0
2019,May,Hanover County,131,344,,,
2021,February,Waynesboro City,188,572,13848.87,80,4464
2019,March,Bath County,278,545,19272.27,,0
2019,May,Winchester City,3058,7915,161823.43,224,4419
2020,September,Chesterfield County,2426,10840,458691,,
2019,October,Norfolk City,10192,36934,487128,1235,26111
2021,April,STAUNTON CITY,271,3251,21004.33,,205
2021,January,Floyd County,363,898,10610.15,,0
2020,August,Rappahannock County,270,619,12274.78,,0
2019,May,Accomack County,1669,4804,94712,349,5142
2019,November,Hopewell City,0,1670,0,,
2021,March,Lunenburg County,706,2006,200139,,
2019,July,Westmoreland County,38,80,2267,,0
2020,May,Sussex County,27,60,7220,0,0
2019,February,Buchanan County,1363,3316,74487.85,282,3308
2021,March,Cumberland County,755,1157,70416,,
2020,February,King William County,114,3753,19307,,
2020,January,Rockingham County,1633,3368,94108.15,,0
2019,October,Giles County,396,777,11964,71,0
2020,September,BEDFORD COUNTY,355,780,23967.12,0,1734
2020,January,Southampton County,564,1241,24816,145,2712
2021,February,Hopewell City,131,227,36563,,
2021,March,Colonial Heights City,0,1330,0,,
2019,January,Pittsylvania County,524,1252,20651.5,,0
2019,March,Buchanan County,1123,2036,87275.5,417,0
2021,March,Fluvanna County,572,1371,24474.69,90,3718
2019,November,Sussex County,255,545,22297,130,1910
2019,March,Smyth County,1456,4590,97741,374,9620
2019,April,Lancaster County,416,818,79836,,
2019,June,Lee County,481,1356,14323.65,,0
2019,April,Petersburg City,874,2110,9425,,
2021,May,Culpeper County,547,1226,46543.2,,0
2019,November,Hanover County,142,413,,,
2019,July,Arlington County,,,30807.30456,,5875
2021,February,Fauquier County,588,1531,38328.97,,0
2019,October,Orange County,646,1099,45320.35,,0
2021,June,Orange County,549,1276,28131.69,,0
2021,June,Rockbridge County,82,1660,6932.72,,0
2021,May,Bath County,247,437,18728.99,96,1650
2019,January,Sussex County,124,344,8372,,
2019,January,Frederick County,2088,4353,45977.01,,0
2020,June,Suffolk City,1040,1763,44384,0,0
2020,June,Stafford County,1037,3271,42929.04,,0
2020,January,Accomack County,1903,5795,89793,340,4983
2019,November,Newport News City,1883,4685,366963,450,19283
2020,October,Chesterfield County,2644,12213,695115,,
2019,March,Sussex County,265,595,12658,97,1956
2020,May,Chesterfield County,2016,8079,325158,,
2020,March,Northumberland County,251,604,80884,,
2019,November,Madison County,332,806,31845.48,,0
2020,January,Williamsburg City,345,939,45204,35,3000
2020,September,Winchester City,2180,6848,170947.4,0,1991
2021,April,Prince George County,102,330,0,,
2021,July,Norton City,479,1434,14412,,0
2021,June,Westmoreland County,274,690,5082,,
2019,February,Wythe County,938,2419,20956,,0
2020,April,Nottoway County,326,919,36497,,
2019,September,Westmoreland County,424,1060,9061,,
2020,July,King and Queen County,0,0,0,,
2019,January,Pittsylvania County,,,0,84,2802
2019,January,Chesterfield County,626,13424,216859,,
2019,March,Highland County,171,335,11454,,0
2019,July,New Kent County,359,1218,0,,
2020,June,Culpeper County,14,33,,,
2021,June,Goochland County,116,425,69914,,
2019,January,Stafford County,1319,3884,59268,524,1668
2021,February,BEDFORD COUNTY,378,769,27297.63,30,0
2020,July,Brunswick County,362,576,26538,,
2020,September,Bath County,235,433,17545.7,,0
