Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition progr
2020,July,Botetourt County,394,1376,7841.65,,0
2021,April,Prince William County,,,1371915.739,,29565
2020,September,Campbell County,1301,2822,119699.89,,544
2019,September,Pittsylvania County,537,1415,22241,,0
2021,February,Winchester City,1405,4180,96596.26,129,3570
2020,October,Mecklenburg County,1916,3155,14900,,
2020,July,Waynesboro City,152,380,17501.54,80,660
2021,April,Dickenson County,526,942,14880.8,2,755
2019,July,Amelia County,138,404,13129,,
2021,May,Colonial Heights City,67,133,36028,,
2019,May,Henrico County,1718,10012,42326,,
2020,April,Louisa County,20,64,,,
2021,August,Carroll County,0,76,2206,,0
2020,December,Dinwiddie County,594,1447,1699,,
2019,September,Sussex County,249,614,8833,0,941
2020,January,Richmond City,0,12038,0,,
2019,March,Colonial Heights City,3,3,51904,,
2020,February,Botetourt County,176,587,15465.18,,0
2019,October,Essex County,297,696,35883,,
2020,April,Orange County,497,1249,39286.6,,0
2021,September,Dickenson County,,,10951.58,,213
2021,January,Hopewell City,156,297,23644,,
2021,February,Danville City,2083,5450,149978.9,,0
